iso3c,country,year,median_age,total,age0,age5,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75+
BDI,Burundi,2020,17.5,11890781,2053840,1818607,1508360,1216932,1042770,986811,875169,664378,446705,300927,259788,232186,201291,138340,70370,74307
CPV,Cape Verde,2020,27.5,555988,51932,53144,51053,48884,45959,51886,52533,45753,35784,29122,25257,22655,15414,10959,4731,10922
KHM,Cambodia,2020,27.5,16718971,1778977,1751610,1639744,1460325,1528306,1589299,1241298,1647970,626899,802188,732822,654662,453519,363257,221238,226857
CMR,Cameroon,2020,17.5,26545864,4115703,3730323,3320209,2856250,2419998,2131789,1860818,1539024,1203235,938608,729131,559346,420400,312899,209912,198219
CAN,Canada,2020,42.5,37742157,1993132,1977789,1983001,1988319,2363469,2733147,2626365,2652296,2463309,2383358,2423480,2758953,2562565,2150179,1792853,2889942
CAF,Central African Republic,2020,17.5,4829764,738242,697367,667354,597254,482771,357219,277127,224208,182948,156581,129029,103567,80954,58107,37685,39351
TCD,Chad,2020,17.5,16425859,2930435,2522114,2183878,1854850,1535501,1245516,989985,779661,610040,472791,362367,292280,236024,181325,112184,116908
NA,Channel Islands,2020,42.5,173859,8702,8861,8470,9310,10437,11332,11779,12110,11623,13291,13714,12464,10619,9393,7644,14110
CHL,Chile,2020,37.5,19116209,1162223,1265856,1249637,1244242,1402909,1592629,1545821,1399583,1324096,1254308,1214595,1137676,982299,809488,581299,949548
CHN,China,2020,37.5,1439323774,83932437,86735183,84262751,82341859,87158167,97989003,128738970,100091455,96274146,119837617,123445382,98740491,77514139,74149766,44949689,53162719
HKG,"China, Hong Kong SAR",2020,42.5,7496988,362563,301632,285856,266803,374346,493283,536342,585823,565562,563568,568882,639024,589090,459791,344127,560296
MAC,"China, Macao SAR",2020,37.5,649342,35933,32884,24392,22442,36025,52307,67616,62186,43958,49444,46928,52687,44803,34191,20659,22887
TWN,"China, Taiwan Province of China",2020,42.5,23816775,1011137,1041749,975803,1213008,1502279,1618075,1621625,1926961,2032452,1755391,1806638,1852580,1684376,1416638,903130,1454933
COL,Colombia,2020,32.5,50882884,3710699,3703456,3873485,4246391,4421466,4425595,4056807,3753492,3421069,3029718,2908465,2635515,2086450,1684908,1187636,1737732
COM,Comoros,2020,22.5,869595,123508,114130,101676,89592,79580,71265,63671,53706,42657,34379,28128,22764,17534,12122,7145,7738
COG,Congo - Brazzaville,2020,17.5,5518092,821959,770376,684997,572967,476267,397994,353823,326256,293520,242294,188974,138918,97295,67442,43871,41139
CRI,Costa Rica,2020,32.5,5094114,348002,357596,355406,363431,400231,424225,430581,395074,348236,302326,304942,297453,244307,178701,138640,204963
CIV,Cote dIvoire,2020,17.5,26378275,4131200,3619086,3198933,2905925,2538481,2122513,1741072,1431143,1185297,932255,738521,598705,474769,347297,214636,198442
HRV,Croatia,2020,42.5,4105268,184151,201625,211194,196912,236131,236069,257519,281772,288137,268865,281014,300369,289048,276330,206036,390096
CUB,Cuba,2020,42.5,11326616,571283,628093,603903,642829,701268,719751,831041,691992,617644,944338,998474,968821,606994,567028,449129,784028
CUW,Curaçao,2020,42.5,164100,8996,10335,10497,11077,9501,10037,9328,9395,9236,11045,11639,12787,11234,9471,7787,11735
CYP,Cyprus,2020,37.5,1207361,64817,67576,67755,73902,93462,98340,96456,91933,87237,79391,75782,71756,64989,55412,45844,72709
CZE,Czechia,2020,42.5,10708982,558810,554836,573613,487718,471397,633942,716916,761294,930407,867947,693997,657273,643722,680895,612775,863440
PRK,South Korea,2020,37.5,25778815,1746093,1684278,1684990,1876239,1940873,1984843,1851025,1790869,1556431,2157885,2140489,1482297,1472517,662166,745082,1002738
COD,Congo - Kinshasa,2020,17.5,89561404,15827439,13659867,11527510,9472510,7729713,6439523,5340933,4421401,3629088,2976441,2421737,1925266,1486411,1099430,789010,815125
DNK,Denmark,2020,42.5,5792203,308596,297433,337045,338903,373946,402016,355016,317274,360966,377241,421735,388391,345703,308827,351301,507810
DJI,Djibouti,2020,27.5,988002,99162,97948,88543,90777,90208,87120,86291,76125,66787,54135,42400,35677,26328,18006,13937,14558
DOM,Dominican Republic,2020,27.5,10847904,1002829,996519,977245,958630,939563,914754,825573,738809,668263,606226,541435,472900,388564,293575,204150,318869
ECU,Ecuador,2020,27.5,17643060,1667087,1610643,1555045,1560940,1566534,1469654,1363153,1229686,1099016,989224,864304,726835,601634,486104,328070,525131
EGY,Egypt,2020,22.5,102334403,12697212,12331328,9684339,8701092,8416595,8094535,8065175,7133174,6040505,4908097,4213235,3631657,2961315,2161342,1665619,1629183
SLV,El Salvador,2020,27.5,6486201,576216,570607,577896,587927,633084,582730,474241,408201,381604,343538,303127,264944,220967,185329,139605,236185
GNQ,Equatorial Guinea,2020,22.5,1402985,199653,172010,144346,120951,138192,148193,143663,105318,68702,46660,37187,25030,19668,15211,9124,9077
ERI,Eritrea,2020,17.5,3546427,495070,476700,486693,373932,285247,286989,269281,191483,141245,139597,88101,83849,68421,59906,47223,52690
EST,Estonia,2020,42.5,1326539,69176,74485,75193,62295,58008,87546,101570,92061,88573,96365,76415,88868,85725,83747,53147,133365
SWZ,Eswatini,2020,22.5,1160164,143677,142943,147779,129239,112817,100070,82554,78775,60204,44195,29594,22123,19639,16883,13551,16121
ETH,Ethiopia,2020,17.5,114963583,16791484,15246064,13853199,12975795,11746856,9692189,7518893,6273985,4933945,4104708,3228746,2475320,2056264,1568290,1188435,1309410
FJI,Fiji,2020,27.5,896444,89390,87750,82927,75208,71883,70062,66837,68117,57042,49481,47401,44036,34160,22959,15417,13774
FIN,Finland,2020,42.5,5540718,264132,304547,310362,296298,313253,359100,347432,359148,345452,314108,351007,369548,356648,355677,357602,536404
FRA,France,2020,42.5,65273512,3619987,3907487,3995688,3887789,3697019,3674010,3941533,4069517,3943397,4382270,4363401,4271656,3973248,3791538,3523616,6231356
GUF,French Guiana,2020,27.5,298682,35621,30500,28955,28598,25329,20780,18573,20146,19499,17491,14918,11793,9853,7373,4377,4876
PYF,French Polynesia,2020,32.5,280904,20092,19542,22790,21344,21458,18922,22667,20700,18914,20674,18952,16697,12680,10362,5881,9229
GAB,Gabon,2020,22.5,2225728,320376,279630,229390,193380,179407,188006,188812,161254,128844,103320,78748,55404,40613,30690,22070,25784
GMB,Gambia,2020,17.5,2416664,409506,352804,299820,257037,228183,200996,160385,122746,97721,76346,65530,50381,34036,25245,19007,16921
GEO,Georgia,2020,37.5,3989175,268345,284818,253462,217595,233413,267285,289585,275491,263948,253998,245820,277803,249130,210728,150386,247368
DEU,Germany,2020,47.5,83783945,4058679,3822225,3811645,4118971,4553436,4823925,5441865,5430155,5059667,5183684,6681221,6807172,5820703,4823439,3833823,9513335
GHA,Ghana,2020,22.5,31072945,4169436,3888435,3479871,3136850,2860336,2538255,2266062,1924356,1625913,1405337,1189260,945719,667312,423755,298344,253704
GRC,Greece,2020,47.5,10423056,409459,471668,542237,526618,529416,527800,597812,738703,780463,793946,796343,709351,676528,580634,549464,1192614
GRD,Grenada,2020,32.5,112519,9012,9119,8623,7514,8699,9590,9345,8865,6561,6310,5917,6228,5718,3858,2793,4367
GLP,Guadeloupe,2020,42.5,400127,22897,22097,28714,29799,28160,18718,16279,17481,21521,27786,30740,31462,27039,23530,19380,34524
GUM,Guam,2020,32.5,168783,13545,13435,13290,13871,13827,13204,11718,10117,9660,10276,10225,9939,7891,6440,4953,6392
GTM,Guatemala,2020,22.5,17915567,2065382,1982085,1926021,1945584,1802495,1610664,1354136,1177928,956404,745589,583906,469911,392152,326700,221430,355180
GIN,Guinea,2020,17.5,13132792,2100111,1865513,1687906,1511548,1305025,1060714,828439,642427,500181,398258,332921,281603,230427,177722,105836,104161
GNB,Guinea Bissau,2020,17.5,1967998,305111,277238,242778,207251,180991,161393,138905,115601,87932,68643,51101,41087,33175,27241,15609,13942
GUY,Guyana,2020,27.5,786559,73864,73764,70499,74852,77395,67911,44034,49075,45300,45225,42774,36563,30245,21111,15024,18923
HTI,Haiti,2020,22.5,11402533,1262943,1237836,1202069,1144460,1065198,979259,905799,825857,627216,479271,423749,365875,292954,230978,150812,208257
HND,Honduras,2020,22.5,9904608,1017017,988975,1023648,1040990,1014731,890687,783566,687371,579933,467803,381155,298856,237302,182776,122731,187067
HUN,Hungary,2020,42.5,9660350,461142,447424,483361,485846,517943,633747,612164,644978,814684,773529,648151,553237,636319,670113,475771,801941
ISL,Iceland,2020,37.5,341250,20439,22631,23213,21495,22239,25559,23306,23565,21816,21150,20726,21385,20411,17125,13941,22249
IND,India,2020,27.5,1380004385,116879507,117982127,126155952,126045566,122504804,117397269,112176098,103460178,90219894,79440280,68875962,59256268,48890528,38260283,24091443,28368226
IDN,Indonesia,2020,27.5,273523621,23658296,24298150,22984659,23318346,22653270,20918156,19973248,21193374,19680740,18165985,15954982,13200117,10394846,7136365,4617543,5375544
IRN,Iran,2020,32.5,83992953,7637559,6928297,6217945,5529983,5556228,6786679,8466702,8272744,6491321,5164295,4618479,3676852,3132274,2264631,1448001,1800963
IRQ,Iraq,2020,22.5,40222503,5380423,5229807,4559181,4151576,3799871,3365719,2927362,2476321,2150018,1786602,1414995,926157,669716,622677,331945,430133
IRL,Ireland,2020,37.5,4937796,313653,358290,356711,312036,289684,277653,310946,384982,395554,367674,312197,288736,249848,230937,196806,292089
ISR,Israel,2020,32.5,8655541,847828,823268,737609,667454,623973,573002,564708,557537,543672,496505,417521,377975,349957,353686,288699,432147
ITA,Italy,2020,47.5,60461828,2324694,2670301,2857357,2876091,2942506,3160930,3365512,3632922,4188984,4833020,4908246,4658946,3953567,3531295,3391798,7165659
JAM,Jamaica,2020,32.5,2961161,230823,233966,226882,239718,261170,254326,232494,210889,178572,178858,171265,149268,124125,90416,70719,107670
JPN,Japan,2020,47.5,126476458,4778481,5401488,5564526,5702645,5996877,6150448,6789745,7665671,8468421,10004654,8658611,7882904,7496122,8379113,9127318,18409434
JOR,Jordan,2020,22.5,10203140,1058122,1154441,1139559,1040294,940151,862385,777482,713126,606717,534628,433223,322368,217239,149039,111528,142838
KAZ,Kazakhstan,2020,32.5,18776707,1920184,1947826,1604307,1116616,1100046,1473146,1657570,1335925,1183701,1102720,977680,1061761,811338,627571,319982,536334
KEN,Kenya,2020,22.5,53771300,7044364,6969546,6736223,6010656,5236593,4357681,4022692,3447454,2759450,2143595,1604073,1201530,888215,630611,381067,337550
KIR,Kiribati,2020,22.5,119446,15160,14303,13438,10194,10897,9627,9061,7543,6240,4933,5432,4556,3028,2113,1462,1459
KWT,Kuwait,2020,37.5,4270563,289689,318637,308230,224996,207094,237788,366397,512159,514762,450607,347201,214098,149263,71000,32152,26490
KGZ,Kyrgyzstan,2020,27.5,6524191,760255,769195,600626,500075,514389,568551,572187,442518,361459,324976,295973,285462,220069,143755,78619,86082
LAO,Lao People's Democratic Republic,2020,22.5,7275556,796887,769855,757599,708652,691999,670626,590926,495603,416557,356127,288932,237645,184270,133701,84637,91540
LVA,Latvia,2020,42.5,1886202,114020,93749,102172,86552,69531,118692,142259,120963,120748,133139,119177,145065,129931,120213,74721,195270
LBN,Lebanon,2020,27.5,6825442,566127,586030,558896,576101,593172,583402,522019,487627,453018,409725,390373,334405,249291,198476,131481,185299
LSO,Lesotho,2020,22.5,2142252,253513,225235,211871,216950,203923,191269,174746,152535,119473,90778,74699,66072,55170,41643,29688,34687
LBR,Liberia,2020,17.5,5057677,740493,678323,623080,551945,463072,377781,334305,295503,245405,198791,158075,125753,97312,71158,45007,51674
LBY,Libya,2020,27.5,6871287,623998,661423,623749,561995,542181,553235,585240,578228,564550,484650,371907,245247,163904,120355,79791,110834
LTU,Lithuania,2020,47.5,2722291,145118,155557,120680,122161,133645,183233,186363,151202,161179,194730,184854,235704,186583,166228,108457,286597
LUX,Luxembourg,2020,37.5,625976,33249,32657,31481,34420,39835,45698,49138,49178,46555,48045,48183,42673,34781,27342,22223,40518
MDG,Madagascar,2020,17.5,27691019,4109427,3653510,3330790,3012138,2675744,2222992,1829738,1541170,1314071,1073787,858467,681298,529275,385933,224722,247957
MWI,Malawi,2020,17.5,19129955,2923943,2738576,2561842,2176211,1838717,1538801,1292429,993594,806787,629954,481315,364833,277622,202626,152766,149939
MYS,Malaysia,2020,32.5,32365998,2635111,2508078,2446026,2669743,2863057,2907311,2929646,2721572,2095698,1894835,1674475,1471562,1223817,927548,657880,739639
MDV,Maldives,2020,27.5,540542,35579,37242,33125,26313,51053,88631,82881,54726,36768,27881,20030,15286,11607,6557,4381,8482
MLI,Mali,2020,17.5,20250834,3605514,3154805,2759052,2250410,1775973,1427845,1167473,992982,827089,658872,489221,359898,280058,221233,141233,139176
MLT,Malta,2020,42.5,441539,21674,21428,20365,20562,25050,30162,32927,32426,31153,28293,25036,28176,30131,27549,27970,38637
MTQ,Martinique,2020,47.5,375265,18353,17600,22799,24323,24395,16977,16928,17174,18747,25440,30456,32339,28311,24156,19568,37699
MRT,Mauritania,2020,22.5,4649660,689874,617954,537394,470161,416127,371775,334301,285478,234615,188017,149658,117492,89051,62022,41686,44055
MUS,Mauritius,2020,37.5,1271767,64048,68838,80576,94588,94111,102698,88439,86669,99352,82738,85134,90215,75135,62855,44574,51797
MYT,Mayotte,2020,22.5,272813,36078,35396,34932,29634,24882,18745,17143,15843,14988,12361,9196,6968,5276,4096,2925,4350
MEX,Mexico,2020,27.5,128932753,10958742,11210511,11140870,11209593,10939819,10795774,9789880,9090150,8531964,8015794,6924917,5833054,4669454,3595499,2466707,3760025
FSM,Micronesia (Fed. States of),2020,22.5,115021,12265,11783,11829,11470,11648,10700,8263,6825,5978,5451,5111,4674,3974,2758,1403,889
MNG,Mongolia,2020,27.5,3278292,375460,362015,281841,218602,228499,271517,309399,254881,222852,200194,168357,145695,97609,60753,35624,44994
MNE,Montenegro,2020,37.5,628062,36906,37037,39389,39148,41268,42928,42561,45787,42874,41048,38143,42177,39754,37191,24534,37317
MAR,Morocco,2020,27.5,36910558,3325038,3427577,3127603,2969593,2874344,3008934,2862559,2743797,2360473,2091959,1924565,1819219,1567238,1167781,682105,957773
MOZ,Mozambique,2020,17.5,31255435,5156628,4561154,4054236,3541222,2912557,2381938,1961629,1627110,1287698,1001590,782620,617547,475030,368632,262220,263624
MMR,Myanmar,2020,27.5,54409794,4508556,4512705,4845400,5071244,4759011,4404070,4127737,3945262,3759985,3459985,3051348,2521871,2049578,1554386,891296,947360
NAM,Namibia,2020,22.5,2540916,336078,318448,281578,244856,244311,228398,197388,159459,130730,106827,82468,67866,51391,36070,24280,30768
NPL,Nepal,2020,22.5,29136808,2706773,2756210,2931249,3188881,3221524,2664850,2069262,1723480,1597026,1448627,1263391,1044309,823091,664987,473733,559415
NLD,Netherlands,2020,42.5,17134873,858900,893863,937700,1015992,1020747,1076733,1077138,1020393,1004922,1146514,1273712,1250360,1124957,1004544,952449,1475949
NCL,New Caledonia,2020,32.5,285491,19798,21516,21807,21396,23349,19843,20797,20694,19726,21097,18244,16707,12832,9963,8094,9628
NZL,New Zealand,2020,37.5,4822233,301256,314028,321707,303246,324477,346758,324444,294622,278415,313459,311981,316710,281813,240499,213606,335212
NIC,Nicaragua,2020,27.5,6624554,656942,660204,637140,603021,584710,581290,549059,506393,421195,341842,273901,233419,199330,149422,83411,143275
NER,Niger,2020,17.5,24206636,4787474,3970552,3265890,2635235,2086862,1630495,1265908,993107,838025,690669,561350,485500,367144,277605,189654,161166
NGA,Nigeria,2020,17.5,206139587,33938795,29913646,25792743,21910447,18068574,15108845,13044512,11323538,9458643,7578818,5943469,4756702,3656623,2601903,1716912,1325417
MKD,North Macedonia,2020,37.5,2083380,111883,115669,112251,121200,130294,152689,162011,163966,154540,145361,145073,137759,129065,115581,79175,106863
NOR,Norway,2020,37.5,5421242,301748,312575,321226,321805,353269,373114,376835,361889,347418,377512,377386,335122,311183,274973,266780,408407
OMN,Oman,2020,32.5,5106622,453666,378907,315751,214553,329057,756486,868013,571807,400326,284643,181717,133883,89584,53203,28263,46763
PAK,Pakistan,2020,22.5,220892331,27962852,25499380,23451518,21975918,20772274,19158088,16818327,13997696,11615522,9633225,8230713,6891900,5279090,3623324,2705744,3276760
PAN,Panama,2020,27.5,4314768,389313,384466,369411,357198,349063,329192,317131,301464,288124,268271,234644,198335,159727,122905,91619,153905
PNG,Papua New Guinea,2020,22.5,8947027,1107184,1043164,994174,923709,836809,717375,636511,584026,510591,427793,348733,280386,217020,155066,89797,74689
PRY,Paraguay,2020,27.5,7132530,701092,682819,676926,659352,677788,643255,595068,514058,406934,320704,290815,257549,220376,181786,127510,176498
PER,Peru,2020,32.5,32971846,2833265,2612135,2696055,2438549,2608093,2767692,2693379,2537783,2300830,2045834,1792130,1521749,1247472,1029167,732079,1115634
PHL,Philippines,2020,27.5,109581085,10616342,11397952,10906801,10462894,10104334,9479780,8247197,7254730,6551963,5759264,5116997,4249923,3393186,2485685,1661429,1892608
POL,Poland,2020,42.5,37846605,1884914,1899957,1974514,1734622,1965983,2465575,2825848,3179075,2958637,2576804,2238497,2324671,2725260,2448887,1855853,2787508
PRT,Portugal,2020,47.5,10196707,400652,440424,489999,525167,539834,533864,560997,654312,765451,810460,743389,737618,672519,621305,566943,1133773
PRI,Puerto Rico,2020,42.5,2860840,84291,156033,210323,184343,143483,145270,156591,174926,196071,203173,211742,202442,196316,164709,157590,273537
QAT,Qatar,2020,32.5,2881060,135162,135374,122418,105982,237443,479928,495152,351028,254998,206802,155604,98557,53949,27847,12864,7952
KOR,Republic of Korea,2020,42.5,51269183,1897011,2256802,2276782,2476476,3216244,3500050,3282425,3797414,3924934,4293910,4315516,4161183,3774566,2679140,1998091,3418639
MDA,Moldova,2020,37.5,4033963,202520,221538,216870,202416,241118,329715,417989,355887,301677,261131,234464,286551,258125,230164,105415,168383
REU,Réunion,2020,37.5,895308,64839,67553,67994,70868,63842,54430,49114,50337,57479,59847,65357,60058,49683,40874,27831,45202
ROU,Romania,2020,42.5,19237682,939606,965441,1080761,994545,1009877,1076387,1396156,1189744,1523497,1502971,1526148,1043010,1289960,1245988,927458,1526133
RUS,Russia,2020,37.5,145934460,9271691,9350916,8174262,7081775,6614696,8993089,12543831,11924724,10604635,9770682,8479651,10418015,10073623,8427746,5390381,8814743
RWA,Rwanda,2020,22.5,12952209,1885105,1675918,1551766,1354029,1183561,1027482,978578,833976,609132,460962,354419,374028,259237,185917,109464,108635
LCA,Saint Lucia,2020,32.5,183629,10826,10986,11152,13183,15870,16946,14292,14155,12886,12631,12357,11018,8417,6138,4880,7892
VCT,Saint Vincent and the Grenadines,2020,32.5,110947,7706,8241,8355,9073,9290,8212,7940,7771,7523,6961,6782,6808,5289,3887,2721,4388
WSM,Samoa,2020,22.5,198410,26990,24133,22684,19314,16572,14723,11657,10355,9881,9679,8967,7503,5865,4095,2742,3250
STP,Sao Tome and Principe,2020,17.5,219161,31754,30657,29106,25003,18677,14948,14083,12548,11052,7628,7361,5419,4332,2750,1744,2099
SAU,Saudi Arabia,2020,32.5,34813867,2978337,2977879,2641499,2218782,2333131,3021629,3437937,3542426,3577563,2831226,1891746,1324826,818937,554584,293041,370324
SEN,Senegal,2020,17.5,16743930,2615341,2417240,2098919,1764783,1519042,1304492,1110693,940599,741966,589862,467265,367435,285866,219898,145623,154906
SRB,Serbia,2020,42.5,8737370,419057,436763,486863,512868,529169,573297,617923,596961,621552,608342,570649,550859,547854,594617,464141,606455
SYC,Seychelles,2020,32.5,98340,7967,7966,7438,6428,6363,7068,7105,7381,7436,7437,6819,6158,4841,3068,1645,3220
SLE,Sierra Leone,2020,17.5,7976985,1158651,1067234,992319,874877,754021,651493,553893,463157,373119,299775,236393,182740,135799,98226,68339,66949
SGP,Singapore,2020,42.5,5850343,258176,220861,240625,265169,397537,435521,434677,461938,473271,491602,466411,479811,443631,355694,190228,235191
SVK,Slovakia,2020,42.5,5459643,283691,282900,282577,262918,290705,365080,410494,437109,457808,403592,346849,362368,361838,333373,236821,341520
SVN,Slovenia,2020,42.5,2078932,101272,108899,104506,91870,96316,109178,133863,149786,158373,146953,151312,149890,145593,139348,97508,194265
SLB,Solomon Islands,2020,17.5,686878,103156,93014,78791,70034,60995,50835,42609,39441,37090,31580,22806,17889,13425,9553,7157,8503
SOM,Somalia,2020,17.5,15893219,2826505,2388859,2119343,1818247,1534275,1159601,868582,665822,561005,492889,407292,326680,262875,199915,134577,126752
ZAF,South Africa,2020,27.5,59308690,5764945,5820660,5495963,4913211,4924091,5217398,5374110,4781215,3810040,3233235,2692132,2219400,1794715,1369726,895217,1002632
SSD,South Sudan,2020,17.5,11193729,1707392,1538290,1380431,1201470,1062165,900787,744174,589979,491926,404911,332202,263323,201377,143560,112230,119512
ESP,Spain,2020,42.5,46754783,1990096,2244391,2497954,2238123,2255909,2361690,2618972,3283021,4000876,3937623,3632242,3414085,2939311,2401343,2204150,4734997
LKA,Sri Lanka,2020,32.5,21413250,1660410,1689625,1721661,1664559,1495651,1406206,1352386,1467635,1524435,1356670,1317276,1237542,1113872,899324,727431,778567
PSE,Palestine,2020,22.5,5101416,692913,671615,592433,517060,498642,467083,369818,294478,247141,200999,166831,130487,87852,64001,48340,51723
SDN,Sudan,2020,17.5,43849269,6339078,5789728,5322924,4800733,4159388,3467770,2799335,2403910,2026888,1700431,1424556,1128395,875056,660904,455130,495043
SUR,Suriname,2020,27.5,586634,52186,52645,51594,50637,48736,47036,42969,39817,35203,37521,32863,31965,21601,15327,11343,15191
SWE,Sweden,2020,42.5,10099270,601450,592501,585901,541226,543786,733144,692949,627350,609202,654921,679405,617242,567133,526735,564149,962176
CHE,Switzerland,2020,42.5,8654618,451829,433116,409669,425198,484186,555543,597572,621652,570855,595733,676756,643866,535823,441612,421519,789689
SYR,Syria,2020,27.5,17500657,1919096,1716807,1749863,1575262,1603500,1496483,1520848,1386345,1095036,833865,689438,595908,465146,357219,209320,286521
TJK,Tajikistan,2020,22.5,9537642,1356750,1220860,977078,811289,833803,814719,786165,604166,472633,409766,372286,328604,246250,141640,77992,83641
THA,Thailand,2020,42.5,69799978,3596052,3843780,4113805,4378506,4807904,4822404,4466694,4763033,5308840,5605417,5598953,5082441,4367653,3256703,2282338,3505455
TLS,Timor-Leste,2020,22.5,1318442,178084,153794,153730,152986,129785,115123,89860,69167,46630,54158,48162,40311,30184,19960,17932,18576
TGO,Togo,2020,17.5,8278737,1220060,1120121,1023991,891005,743733,631528,567255,497302,414564,329953,254832,195882,148012,107925,71771,60803
TON,Tonga,2020,22.5,105697,12201,12438,12103,11419,9698,7442,6110,6073,5326,4964,4856,3845,2963,2340,1645,2274
TTO,Trinidad and Tobago,2020,37.5,1399491,88366,96085,96320,89490,85696,97306,116833,126028,101245,90197,82715,92347,75717,60176,43960,57010
TUN,Tunisia,2020,32.5,11818618,1004154,1013605,853066,786872,821287,904059,928189,985875,846845,725626,711339,650167,538872,423722,250363,374577
TUR,Turkey,2020,32.5,84339067,6567148,6852122,6773238,6821911,6770019,6404144,6394980,6379751,6008074,5438505,4755468,4152955,3446200,2746192,1970496,2857864
TKM,Turkmenistan,2020,27.5,6031187,661065,671865,524183,484560,461537,548254,525197,432688,378455,319366,283597,251862,200994,133450,68644,85470
UGA,Uganda,2020,17.5,45741000,7796039,7059913,6192176,5257248,4328181,3544494,2848524,2252576,1765404,1368000,1065593,786842,567734,406591,261489,240196
UKR,Ukraine,2020,42.5,43733759,2113850,2475661,2403743,1979774,2146047,2752444,3584834,3624124,3337191,3069213,2802958,3103779,2927644,2612212,1769077,3031208
ARE,United Arab Emirates,2020,32.5,9890400,499138,512575,453459,389532,715753,1433590,1795746,1373568,916021,692088,456601,341312,185966,56741,36260,32050
